"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C21,C20,C19,C18,C17";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";5;"25uF";;;
2;"C16";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"100uF";;;
3;"U4,U3,U2";"SOIC-16W_7.5x10.3mm_P1.27mm";3;"cd40109";;;
4;"JP2";"SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm";1;"DBG_DATA";;;
5;"JP1";"SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm";1;"DBG_LED";;;
6;"R22";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"0R";;;
7;"D2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"ss36";;;
8;"D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED";;;
9;"J1";"PinSocket_1x12_P2.54mm_Vertical_SMD_Pin1Left";1;"Conn_01x12_Female";;;
10;"C15,C14,C13,C12,C5,C4,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";7;"100nF";;;
11;"C11,C10,C9,C8,C7,C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"4n7";;;
12;"C2,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"20pF";;;
13;"Y1";"Crystal_SMD_HC49-SD_HandSoldering";1;"16MHz";;;
14;"U1";"LQFP-44_10x10mm_P0.8mm";1;"QT1481";;;
15;"TP28";"qt_touch_12_x_12";1;"0";;;
16;"TP27";"qt_touch_12_x_12";1;"6";;;
17;"TP26";"qt_touch_12_x_12";1;"DOT";;;
18;"TP25";"qt_touch_12_x_12";1;"9";;;
19;"TP24";"qt_touch_12_x_12";1;"3";;;
20;"TP23";"qt_touch_12_x_12";1;"5";;;
21;"TP22";"qt_touch_12_x_12";1;"MINUS";;;
22;"TP21";"qt_touch_12_x_12";1;"8";;;
23;"TP20";"qt_touch_12_x_12";1;"CHECK";;;
24;"TP19";"qt_touch_12_x_12";1;"2";;;
25;"TP18";"qt_touch_12_x_12";1;"4";;;
26;"TP17";"qt_touch_12_x_12";1;"DUMP";;;
27;"TP16";"qt_touch_12_x_12";1;"CLEAR";;;
28;"TP15";"qt_touch_12_x_12";1;"RELOAD";;;
29;"TP14";"qt_touch_12_x_12";1;"1";;;
30;"TP13";"qt_touch_12_x_12";1;"7";;;
31;"TP12";"qt_touch_12_x_12";1;"STOP";;;
32;"TP11";"qt_touch_12_x_12";1;"INCR ADDR";;;
33;"TP10";"qt_touch_12_x_12";1;"LOAD ADDR";;;
34;"TP9";"qt_touch_12_x_12";1;"C";;;
35;"TP8";"qt_touch_12_x_12";1;"RUN";;;
36;"TP7";"qt_touch_12_x_12";1;"NORM RESET";;;
37;"TP6";"qt_touch_12_x_12";1;"LOAD STORE";;;
38;"TP5";"qt_touch_12_x_12";1;"KI RESET";;;
39;"TP4";"qt_touch_12_x_12";1;"B";;;
40;"TP3";"qt_touch_12_x_12";1;"DECR ADDR";;;
41;"TP2";"qt_touch_12_x_12";1;"LOAD IAR";;;
42;"TP1";"qt_touch_12_x_12";1;"A";;;
43;"R21,R20,R19,R18,R17,R16,R15,R14,R13,R12,R11,R10,R8,R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";14;"1k";;;
44;"R9,R6,R5,R4,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"470k";;;
45;"R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"407k";;;
46;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"4k7";;;
